0,kim,010-2222-2222,ee@naver.com,seoul
0,kim,010-2222-2222,ee@naver.com,seoul
0,kim,010-2222-2222,ee@naver.com,seoul
0,kim,010-2222-2222,ee@naver.com,seoul
0,kim,010-2222-2222,ee@naver.com,seoul
1,park,010-1111-1111,hh@naver.com,seoul
0,kim,010-2222-2222,ee@naver.com,seoul
1,park,010-1111-1111,hh@naver.com,seoul
0,kim,010-2222-2222,ee@naver.com,seoul
1,park,010-1111-1111,hh@naver.com,seoul
0,kim,010-2222-2222,ee@naver.com,seoul
1,park,010-1111-1111,hh@naver.com,seoul
2,park,010-3333-3333,aa@naver.com,korea
